  phase   passband   delta    dm15       mag  
   36.0       desr   -0.30   +0.89   -17.227  
   37.0       desr   -0.30   +0.89   -17.184  
   38.0       desr   -0.30   +0.89   -17.137  
   39.0       desr   -0.30   +0.89   -17.087  
   40.0       desr   -0.30   +0.89   -17.041  
   41.0       desr   -0.30   +0.89   -17.002  
   42.0       desr   -0.30   +0.89   -16.967  
   43.0       desr   -0.30   +0.89   -16.938  
   44.0       desr   -0.30   +0.89   -16.911  
   45.0       desr   -0.30   +0.89   -16.890  
   46.0       desr   -0.30   +0.89   -16.875  
   47.0       desr   -0.30   +0.89   -16.866  
   48.0       desr   -0.30   +0.89   -16.857  
   49.0       desr   -0.30   +0.89   -16.849  
   50.0       desr   -0.30   +0.89   -16.839  
   51.0       desr   -0.30   +0.89   -16.827  
   52.0       desr   -0.30   +0.89   -16.812  
   53.0       desr   -0.30   +0.89   -16.794  
   54.0       desr   -0.30   +0.89   -16.772  
   55.0       desr   -0.30   +0.89   -16.748  
   56.0       desr   -0.30   +0.89   -16.720  
   57.0       desr   -0.30   +0.89   -16.692  
   58.0       desr   -0.30   +0.89   -16.664  
   59.0       desr   -0.30   +0.89   -16.638  
   60.0       desr   -0.30   +0.89   -16.614  
   61.0       desr   -0.30   +0.89   -16.593  
   62.0       desr   -0.30   +0.89   -16.574  
   63.0       desr   -0.30   +0.89   -16.557  
   64.0       desr   -0.30   +0.89   -16.541  
   65.0       desr   -0.30   +0.89   -16.526  
   66.0       desr   -0.30   +0.89   -16.513  
   67.0       desr   -0.30   +0.89   -16.502  
   68.0       desr   -0.30   +0.89   -16.492  
   69.0       desr   -0.30   +0.89   -16.484  
   70.0       desr   -0.30   +0.89   -16.478  
   71.0       desr   -0.30   +0.89   -16.472  
   72.0       desr   -0.30   +0.89   -16.465  
   73.0       desr   -0.30   +0.89   -16.456  
   74.0       desr   -0.30   +0.89   -16.446  
   75.0       desr   -0.30   +0.89   -16.434  
   76.0       desr   -0.30   +0.89   -16.421  
   77.0       desr   -0.30   +0.89   -16.406  
   78.0       desr   -0.30   +0.89   -16.391  
